"","cat","X","Y","slope","heading_rad","elevRange_25","elevation","latRange_10","latRange_25","latRange_50","UAA","SPI"
"5462",5462,371422.751738793,4560106.92928707,0.146614749769936,-0.816107767868756,0.393798828125,2226.0625,0.070556640625,0.601806640625,2.308837890625,52067683.8748756,2278705.3643892
"5463",5463,371331.563563139,4560216.35509785,0.187403465776228,-0.952049794721098,0.1689453125,2225.44848632812,0.048095703125,0.11572265625,0.39599609375,34621102.6215564,1310121.54641563
"5464",5464,372216.088866979,4559258.87925349,2.25419618089678,-0.785398163404629,1.751708984375,2229.529296875,0.169677734375,0.573974609375,1.474853515625,41349755.7484531,16451711.6053732
"5465",5465,372216.088866979,4559249.76043592,0,-1.5707963267949,1.66064453125,2229.8408203125,0.277099609375,0.630859375,0.96484375,47977695.9955861,16451711.6053732
"5466",5466,372225.207684544,4559249.76043592,NA,0,1.3779296875,2229.96923828125,0.452880859375,1.39404296875,2.1005859375,47977695.9955861,10555102.6909554
"5467",5467,420244.900983706,4559204.1663481,0,-1.5707963267949,0.225341796875,2243.91088867188,0.095947265625,0.23046875,0.310546875,22523.2478894006,578.519873376624
"5468",5468,420254.019801271,4559204.1663481,NA,0,0.205810546875,2243.84790039062,0.068603515625,0.19189453125,0.310302734375,16329.2041781989,548.273519460875
"5469",5469,420308.732706663,4559258.87925349,0.404652912855217,-1.86996447835718,0.251953125,2243.359375,0.046630859375,0.14111328125,0.171630859375,35099.938077925,1642.86850742068
"5470",5470,420317.851524229,4559550.68141558,0.126423985796338,-1.68720139769259,0.157958984375,2241.4443359375,0.025390625,0.2138671875,0.16552734375,48372.3854384443,165.11925456814
"5471",5471,420317.851524229,4559669.22604393,0.132614536739526,-1.46192851665021,0.107666015625,2241.13940429688,0.026611328125,0.11669921875,0.2001953125,53365.9636497463,2996.7455205355
"5472",5472,420372.564429621,4559860.7212128,0.142269518192695,-1.56033165230501,0.10693359375,2240.65795898438,0.0439453125,0.063720703125,0.1044921875,54098.1002479038,1763.93853663579
"5473",5473,420336.08915936,4560088.69165194,0.394827971083224,-1.51184683046366,0.3349609375,2239.17016601562,0.010986328125,0.033203125,0.09130859375,32331.6616647778,1968.03172229779
"5474",5474,420326.970341794,4560271.06800324,0.0228881160172649,-1.7122498008592,0.00146484375,2238.34643554688,0.000732421875,0.057373046875,0.139404296875,26737.478536521,26.2276791075355
"5475",5475,420317.851524229,4560508.15725994,0.0471392878882887,-1.91960119581378,0.1494140625,2238.14428710938,0.044189453125,0.1904296875,0.218505859375,71085.3024286491,764.558930892362
"5476",5476,420463.752605274,4560690.53361125,0.136078972157892,-2.23205180116964,0.10693359375,2237.76782226562,0.0703125,0.064697265625,0.07861328125,71256.1363895466,1344.86745655071
"5477",5477,420564.059598493,4560863.79114499,0.185376064454318,-2.15641677413974,0.160888671875,2237.2451171875,0.00146484375,0.0126953125,0.048828125,71623.0177483266,3259.0420865445
"5478",5478,420646.128956582,4561018.8110436,0.0937673643114384,-1.78087865485568,0.16064453125,2236.4443359375,0.025146484375,0.102783203125,0.251708984375,75129.6848747327,3007.24019902121
"5479",5479,420773.792402497,4561146.47448952,0.186284764268436,-2.52386092049096,0.17724609375,2235.94555664062,0.02392578125,0.100341796875,0.048095703125,36525.9161643666,1301.81763254534
"5480",5480,420947.049936238,4561310.61320569,0.0842827331906186,-2.00420538433612,0.149658203125,2235.34375,0.021728515625,0.149169921875,0.095703125,77996.7148652304,2424.82858033824
"5481",5481,421020.000476761,4561492.989557,0.16816754471119,-2.92289365875117,0.141845703125,2234.38012695312,0.08544921875,0.1083984375,0.177734375,25125.0626351963,713.633707205842
"5482",5482,421184.139192938,4561456.51428674,0.0932562166482339,-2.76276106430133,0.094482421875,2234.14599609375,0.003662109375,0.122314453125,0.189697265625,38689.5102299454,983.423132076458
"5483",5483,421375.63436181,4561547.70246239,0.115633110225821,-2.28232928797725,0.128173828125,2233.6455078125,0.00634765625,0.001220703125,0.00244140625,37015.8438878374,1007.06845169934
"5484",5484,421421.228449637,4561766.55408396,0.197757091152862,-1.57886225728197,0.199951171875,2232.84936523438,0.006103515625,0.056884765625,0.20361328125,14898.0796495075,853.778465199241
"5485",5485,421457.703719898,4561921.57398257,0.0711632658730883,-2.51988222643831,0.0859375,2232.24609375,0.004638671875,0.082763671875,0.165283203125,64200.9626073149,1774.79950714991
"5486",5486,421640.080071205,4562049.23742849,0.0697434096291164,-2.41389578201439,0.119873046875,2232.04443359375,0.046630859375,0.08642578125,0.187744140625,72973.3831086028,997.454934585025
"5487",5487,421740.387064424,4562167.78205684,0.154253042723813,-2.36793242221364,0.1455078125,2231.544921875,0.038818359375,0.06201171875,0.08935546875,70629.1181501731,2609.78315957075
"5488",5488,421931.882233297,4562277.20786762,0.348144992329257,-2.43192980298963,0.306884765625,2230.58715820312,0.083740234375,0.16943359375,0.223388671875,61056.7266271052,6281.13745260786
