X,Y,pnt_val,rast_val,diff,Elevation,pnt_val_2,rast_val_2,diff_2,uaa
445808.500007136,4457410.78119327,21.000000000000000,3305.886000000000000,3284.886000000000000,3306,21.000000000000000,25230.000000000000000,25209.000000000000000,25230
445808.500007136,4457410.78119327,22.000000000000000,3305.886000000000000,3283.886000000000000,3306,22.000000000000000,46677.000000000000000,46655.000000000000000,46677
445596.976623065,4457617.86247872,22.000000000000000,3214.915000000000000,3192.915000000000000,3215,22.000000000000000,46677.000000000000000,46655.000000000000000,46677
445596.976623065,4457617.86247872,23.000000000000000,3214.915000000000000,3191.915000000000000,3215,23.000000000000000,64992.000000000000000,64969.000000000000000,64992
445752.697812856,4458093.5915491,23.000000000000000,3142.799000000000000,3119.799000000000000,3143,23.000000000000000,64992.000000000000000,64969.000000000000000,64992
445752.697812856,4458093.5915491,24.000000000000000,3142.799000000000000,3118.799000000000000,3143,24.000000000000000,71804.000000000000000,71780.000000000000000,71804
445813.758928774,4458596.10008754,24.000000000000000,3113.092999999999800,3089.092999999999800,3113,24.000000000000000,71804.000000000000000,71780.000000000000000,71804
445813.758928774,4458596.10008754,25.000000000000000,3113.092999999999800,3088.092999999999800,3113,25.000000000000000,108719.000000000000000,108694.000000000000000,108719
445693.69114213,4459109.3204132,25.000000000000000,3063.848000000000000,3038.848000000000000,3064,25.000000000000000,108719.000000000000000,108694.000000000000000,108719
445693.69114213,4459109.3204132,26.000000000000000,3063.848000000000000,3037.848000000000000,3064,26.000000000000000,118171.000000000000000,118145.000000000000000,118171
445618.472395206,4459633.543442,26.000000000000000,3031.108000000000200,3005.108000000000200,3031,26.000000000000000,118171.000000000000000,118145.000000000000000,118171
445618.472395206,4459633.543442,27.000000000000000,3031.108000000000200,3004.108000000000200,3031,27.000000000000000,130112.000000000000000,130085.000000000000000,130112
445536.952551474,4460098.07949343,27.000000000000000,3029.795000000000100,3002.795000000000100,3030,27.000000000000000,130112.000000000000000,130085.000000000000000,130112
445536.952551474,4460098.07949343,28.000000000000000,3029.795000000000100,3001.795000000000100,3030,28.000000000000000,136788.000000000000000,136760.000000000000000,136788
445221.361994968,4460441.09929679,28.000000000000000,3031.103999999999800,3003.103999999999800,3031,28.000000000000000,136788.000000000000000,136760.000000000000000,136788
445221.361994968,4460441.09929679,29.000000000000000,3031.103999999999800,3002.103999999999800,3031,29.000000000000000,146239.000000000000000,146210.000000000000000,146239
445179.60444457,4460866.86630392,29.000000000000000,2979.483999999999900,2950.483999999999900,2979,29.000000000000000,146239.000000000000000,146210.000000000000000,146239
452631.216522981,4451248.34371682,1.000000000000000,2563.420000000000100,2562.420000000000100,2563,1.000000000000000,349424.000000000000000,349423.000000000000000,349424
452942.081321326,4451303.20221061,1.000000000000000,2553.938000000000100,2552.938000000000100,2554,1.000000000000000,349424.000000000000000,349423.000000000000000,349424
451140.894107385,4452235.79660493,2.000000000000000,2926.286999999999800,2924.286999999999800,2926,2.000000000000000,88254.000000000000000,88252.000000000000000,88254
451568.590807713,4451972.67538628,2.000000000000000,2866.181999999999800,2864.181999999999800,2866,2.000000000000000,88254.000000000000000,88252.000000000000000,88254
451568.590807713,4451972.67538628,3.000000000000000,2866.181999999999800,2863.181999999999800,2866,3.000000000000000,25208.000000000000000,25205.000000000000000,25208
452076.625912119,4451870.07331304,3.000000000000000,2806.534999999999900,2803.534999999999900,2807,3.000000000000000,25208.000000000000000,25205.000000000000000,25208
452076.625912119,4451870.07331304,4.000000000000000,2806.534999999999900,2802.534999999999900,2807,4.000000000000000,27840.000000000000000,27836.000000000000000,27840
452484.927206113,4451749.64453843,4.000000000000000,2726.650000000000100,2722.650000000000100,2727,4.000000000000000,27840.000000000000000,27836.000000000000000,27840
452484.927206113,4451749.64453843,5.000000000000000,2726.650000000000100,2721.650000000000100,2727,5.000000000000000,32386.000000000000000,32381.000000000000000,32386
452622.073440677,4451248.34371682,5.000000000000000,2563.982000000000000,2558.982000000000000,2564,5.000000000000000,32386.000000000000000,32381.000000000000000,32386
450802.600062127,4452683.8076375,6.000000000000000,3036.570999999999900,3030.570999999999900,3037,6.000000000000000,27960.000000000000000,27954.000000000000000,27960
